ability_1,ability_10,ability_2,ability_3,ability_4,ability_5,ability_6,ability_7,ability_8,ability_9,actions,armor_class,challenge,charisma,condition_immunities,constitution,damage_immunities,damage_resistances,dexterity,hit_points,intelligence,languages,misc,name,saving_throws,senses,short_desc,skills,speed,strength,url,wisdom
"Dive Attack.;; If the aarakocra is flying and dives at least 30 ft. straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target.",,"Talon.;; Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.","Javelin.;; Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.","Summon Air Elemental.;; Five aarakocra within 30 feet of each other can magically summon an air elemental. Each of the five must use its action and movement on three consecutive turns to perform an aerial dance and must maintain concentration while doing so (as if concentrating on a spell). When all five have finished their third turn of the dance, the elemental appears in an unoccupied space within 60 feet of them. It is friendly toward them and obeys their spoken commands. It remains for 1 hour, until it or all its summoners die, or until any of its summoners dismisses it as a bonus action. A summoner can’t perform the dance again until it finishes a short rest. When the elemental returns to the Elemental Plane of Air, any aarakocra within 5 feet of it can return with it.",,,,,,,12,1/4 (50 XP),11 (0),,10 (0),,,14 (+2),13 (3d8),11 (0),"Auran, Aarakocra",,Aarakocra,,,"Medium humanoid (aarakocra), neutral good",,"20 ft., fly 50 ft.",10 (0),http://chisaipete.github.io/bestiary/creature/aarakocra,12 (+1)
"Innate Spellcasting.;; Zuggtmoy’s spellcasting ability is Charisma. She can innately cast the following spells, requiring no material components:",Attack;; Zuggtmoy makes one pseudopod attack.,"Legendary Resistance (3/Day).;; If Zuggtmoy fails a saving throw, she can choose to succeed instead.",Magic Resistance.;; Zuggtmoy has advantage on saving throws against spells and other magical effects.,Magic Weapons.;; Zuggtmoy’s weapon attacks are magical.,Multiattack;; Zuggtmoy makes three pseudopod attacks.,"Pseudopod;; Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage plus 9 (2d8) poison damage.","Infestation Spores (3/Day);; Zuggtmoy releases spores that burst out in a cloud that fills a 20-foot-radius sphere centered on her, and it lingers for 1 minute. Any flesh-and-blood creature in the cloud when it appears, or that enters it later, must make a DC 19 Constitution saving throw. On a successful save, the creature can’t be infected by these spores for 24 hours. On a failed save, the creature is infected with a disease called the spores of Zuggtmoy and also gains a random form of madness (determined by rolling on the Madness of Zuggtmoy table) that lasts until the creature is cured of the disease or dies. While infected in this way, the creature can’t be reinfected, and it must repeat the saving throw at the end of every 24 hours, ending the infection on a success. On a failure, the infected creature’s body is slowly taken over by fungal growth, and after three such failed saves, the creature dies and is reanimated as a spore servant if it’s a type of creature that can be (see the “Myconids” entry in the Monster Manual).","Mind Control Spores (Recharge 5-6);; Zuggtmoy releases spores that burst out in a cloud that fills a 20-foot-radius sphere centered on her, and it lingers for 1 minute. Humanoids and beasts in the cloud when it appears, or that enter it later, must make a DC 19 Wisdom saving throw. On a successful save, the creature can’t be infected by these spores for 24 hours. On a failed save, the creature is infected with a disease called the influence of Zuggtmoy for 24 hours. While infected in this way, the creature is charmed by her and can’t be reinfected by these spores.","||ADDENDUM||Zuggtmoy can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. Zuggtmoy regains spent legendary actions at the start of her turn.",,18 (natural armor),"23 (50,000 XP)",24 (+7),"charmed, exhaustion, frightened, poisoned",18 (+4),"poison; bludgeoning, piercing, and slashing from nonmagical attacks","cold, fire, lightning",15 (+2),304  (32d10 + 128),20 (+5),"all, telepathy 120 ft.","Innate Spellcasting.;; Zuggtmoy’s spellcasting ability is Charisma. She can innately cast the following spells, requiring no material components:Legendary Resistance (3/Day).;; If Zuggtmoy fails a saving throw, she can choose to succeed instead.Magic Resistance.;; Zuggtmoy has advantage on saving throws against spells and other magical effects.Magic Weapons.;; Zuggtmoy’s weapon attacks are magical.Multiattack;; Zuggtmoy makes three pseudopod attacks.Pseudopod;; Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage plus 9 (2d8) poison damage.Infestation Spores (3/Day);; Zuggtmoy releases spores that burst out in a cloud that fills a 20-foot-radius sphere centered on her, and it lingers for 1 minute. Any flesh-and-blood creature in the cloud when it appears, or that enters it later, must make a DC 19 Constitution saving throw. On a successful save, the creature can’t be infected by these spores for 24 hours. On a failed save, the creature is infected with a disease called the spores of Zuggtmoy and also gains a random form of madness (determined by rolling on the Madness of Zuggtmoy table) that lasts until the creature is cured of the disease or dies. While infected in this way, the creature can’t be reinfected, and it must repeat the saving throw at the end of every 24 hours, ending the infection on a success. On a failure, the infected creature’s body is slowly taken over by fungal growth, and after three such failed saves, the creature dies and is reanimated as a spore servant if it’s a type of creature that can be (see the “Myconids” entry in the Monster Manual).Mind Control Spores (Recharge 5-6);; Zuggtmoy releases spores that burst out in a cloud that fills a 20-foot-radius sphere centered on her, and it lingers for 1 minute. Humanoids and beasts in the cloud when it appears, or that enter it later, must make a DC 19 Wisdom saving throw. On a successful save, the creature can’t be infected by these spores for 24 hours. On a failed save, the creature is infected with a disease called the influence of Zuggtmoy for 24 hours. While infected in this way, the creature is charmed by her and can’t be reinfected by these spores.||ADDENDUM||Zuggtmoy can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. Zuggtmoy regains spent legendary actions at the start of her turn.Attack;; Zuggtmoy makes one pseudopod attack.Exert Will;; One creature charmed by Zuggtmoy that she can see must use its reaction to move up to its speed as she directs or to make a weapon attack against a target that she designates.",Zuggtmoy,,"truesight 120 ft., passive Perception 21","Large fiend (demon), chaotic evil",,30 ft.,22 (+6),http://chisaipete.github.io/bestiary/creature/zuggtmoy,19 (+4)
Magic Resistance.;; The zorbo has advantage on saving throws against spells and other magical effects.,,"Natural Armor.;; The zorbo magically absorbs the natural strength of its surroundings, adjusting its Armor Class based on the material it is standing or climbing on: AC 15 for wood or bone, AC 17 for earth or stone, or AC 19 for metal. If the zorbo isn’t in contact with any of these substances, its AC is 10.","Destructive Claws.;; Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 8 (2d6 +1) slashing damage, and if the target is a creature wearing armor, carrying a shield, or in possession of a magic item that improves its AC , it must make a DC 11 Dexterity saving throw. On a failed save, one such item worn or carried by the creature (the target’s choice) magically deteriorates, taking a permanent and cumulative -1 penalty to the AC it offers, and the zorbo gains a +l bonus to AC until the start of its next turn. Armor reduced to an AC of 10 or a shield or magic item that drops to a 0 AC increase is destroyed.",,,,,,,,10 (see Natural Armor feature),1/2 (100 XP),7 (-2),,13 (+1),,,11 (0),27 (6d6 +6),3 (-4),,,Zorbo,,passive Perception 1,"Small monstrosity, unaligned",,"30 ft., climb 30 ft.",13 (+1),http://chisaipete.github.io/bestiary/creature/zorbo,12 (+1)
"Undead Fortitude.;; If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5+the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.",,"Slam.;; Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage.",,,,,,,,,8,1/4 (50 XP),5 (-3),poisoned,16 (+3),,,6 (-2),22 (3d8+9),3 (-4),understands all languages it spoke in life but can't speak,,Zombie,,darkvision 60 ft.,"Medium undead, neutral evil",,20 ft.,13 (+1),http://chisaipete.github.io/bestiary/creature/zombie,6 (-2)
Devil’s Sight.;; Magical darkness doesn’t impede Zariel’s darkvision.,"Horrid Touch (Recharge 5-6);; Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 44 (8d10) necrotic damage, and the target is poisoned for 1 minute. While poisoned in this way, the target is also blinded and deafened. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","Magic Weapons.;; Zariel’s weapon attacks are magical. When she hits with any weapon, the weapon deals an extra 36 (8d8) fire damage (included in the weapon attacks below).","Innate Spellcasting.;; Zariel’s innate spellcasting ability is Charisma. She can innately cast the following spells, requiring no material components:","Legendary Resistance (3/Day).;; If Zariel fails a saving throw, she can choose to succeed instead.",Magic Resistance.;; Zariel has advantage on saving throws against spells and other magical effects.,"Regeneration.;; Zariel regains 20 hit points at the start of her turn. If she takes radiant damage, this trait doesn’t function at the start of her next turn. Zariel dies only if she starts her turn with 0 hit points and doesn’t regenerate.",Multiattack;; Zariel attacks twice with her longsword or with her javelins. She can substitute Horrid Touch for one of these attacks.,"Longsword;; Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 17 (2d8 + 8) slashing damage plus 36 (8d8) fire damage, or 19 (2d10 + 8) slashing damage plus 36 (8d8) fire damage if used with two hands.","Javelin;; Melee or Ranged Weapon Attack: +16 to hit, range 30/120 ft., one target. Hit: 15 (2d6 + 8) piercing damage plus 36 (8d8) fire damage.",,21 (natural armor),"26 (90,000 XP)",30 (+10),"charmed, exhaustion, frightened, poisoned",28 (+9),"necrotic, poison","cold, fire, radiant; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered",24 (+7),580  (40d10 + 360),26 (+8),"all, telepathy 120 ft.","Devil’s Sight.;; Magical darkness doesn’t impede Zariel’s darkvision.Magic Weapons.;; Zariel’s weapon attacks are magical. When she hits with any weapon, the weapon deals an extra 36 (8d8) fire damage (included in the weapon attacks below).Innate Spellcasting.;; Zariel’s innate spellcasting ability is Charisma. She can innately cast the following spells, requiring no material components:Legendary Resistance (3/Day).;; If Zariel fails a saving throw, she can choose to succeed instead.Magic Resistance.;; Zariel has advantage on saving throws against spells and other magical effects.Regeneration.;; Zariel regains 20 hit points at the start of her turn. If she takes radiant damage, this trait doesn’t function at the start of her next turn. Zariel dies only if she starts her turn with 0 hit points and doesn’t regenerate.Multiattack;; Zariel attacks twice with her longsword or with her javelins. She can substitute Horrid Touch for one of these attacks.Longsword;; Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 17 (2d8 + 8) slashing damage plus 36 (8d8) fire damage, or 19 (2d10 + 8) slashing damage plus 36 (8d8) fire damage if used with two hands.Javelin;; Melee or Ranged Weapon Attack: +16 to hit, range 30/120 ft., one target. Hit: 15 (2d6 + 8) piercing damage plus 36 (8d8) fire damage.Horrid Touch (Recharge 5-6);; Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 44 (8d10) necrotic damage, and the target is poisoned for 1 minute. While poisoned in this way, the target is also blinded and deafened. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.Teleport;; Zariel magically teleports, along with any equipment she is wearing and carrying, up to 120 feet to an unoccupied space she can see.||ADDENDUM||Zariel can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. Zariel regains spent legendary actions at the start of her turn.Immolating Gaze (Costs 2 Actions);; Zariel turns her magical gaze toward one creature she can see within 120 feet of her and commands it to combust. The target must succeed on a DC 26 Wisdom saving throw or take 22 (4d10) fire damage.Teleport;; Zariel uses her Teleport action.",Zariel,,"darkvision 120 ft., passive Perception 26","Large fiend (devil), lawful evil",,"50 ft., fly 150 ft.",27 (+8),http://chisaipete.github.io/bestiary/creature/zariel,27 (+8)
"Earth-Shaking Movement.;; As a bonus action after moving at least 10 feet on the ground, the zaratan can send a shock wave through the ground in a 120-foot-radius circle centered on itself. That area becomes difficult terrain for 1 minute. Each creature on the ground that is concentrating must succeed on a DC 25 Constitution saving throw or the creature’s concentration is broken.
The shock wave deals 100 thunder damage to all structures in contact with the ground in the area. If a creature is near a structure that collapses, the creature might be buried; a creature within half the distance of the structure’s height must make a DC 25 Dexterity saving throw. On a failed save, the creature takes 17 (5d6) bludgeoning damage, is knocked prone, and is trapped in the rubble. A trapped creature is restrained, requiring a successful DC 20 Strength (Athletics) check as an action to escape. Another creature within 5 feet of the buried creature can use its action to clear rubble and grant advantage on the check. If three creatures use their actions in this way, the check is an automatic success. On a successful save, the creature takes half as much damage and doesn’t fall prone or become trapped.","||ADDENDUM||The zaratan can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The zaratan regains spent legendary actions at the start of its turn.","Legendary Resistance (3/Day).;; If the zaratan fails a saving throw, it can choose to succeed instead.",Magic Weapons.;; The zaratan’s weapon attacks are magical.,Siege Monster.;; The elemental deals double damage to objects and structures (included in Earth-Shaking Movement).,Multiattack;; The zaratan makes two attacks: one with its bite and one with its stomp.,"Bite;; Melee Weapon Attack: +17 to hit, reach 20 ft., one target. Hit: 28 (4d8 + 10) piercing damage.","Stomp;; Melee Weapon Attack: +17 to hit, reach 20 ft., one target. Hit: 26 (3d10 + 10) bludgeoning damage.","Spit Rock;; Ranged Weapon Attack: +17 to hit, range 120 ft./240 ft., one target. Hit: 31 (6d8 + 10) bludgeoning damage.","Spew Debris (Recharge 5-6);; The zaratan exhales rocky debris in a 90-foot cube. Each creature in that area must make a DC 25 Dexterity saving throw. A creature takes 33 (6d10) bludgeoning damage on a failed save, or half as much damage on a successful one. A creature that fails the save by 5 or more is knocked prone.",,21 (natural armor),"22 (41,000 XP)",18 (+4),"exhaustion, paralyzed, petrified, poisoned, stunned",30 (+10),poison,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",10 (0),307  (15d20 + 150),2 (-4),-,"Earth-Shaking Movement.;; As a bonus action after moving at least 10 feet on the ground, the zaratan can send a shock wave through the ground in a 120-foot-radius circle centered on itself. That area becomes difficult terrain for 1 minute. Each creature on the ground that is concentrating must succeed on a DC 25 Constitution saving throw or the creature’s concentration is broken.
The shock wave deals 100 thunder damage to all structures in contact with the ground in the area. If a creature is near a structure that collapses, the creature might be buried; a creature within half the distance of the structure’s height must make a DC 25 Dexterity saving throw. On a failed save, the creature takes 17 (5d6) bludgeoning damage, is knocked prone, and is trapped in the rubble. A trapped creature is restrained, requiring a successful DC 20 Strength (Athletics) check as an action to escape. Another creature within 5 feet of the buried creature can use its action to clear rubble and grant advantage on the check. If three creatures use their actions in this way, the check is an automatic success. On a successful save, the creature takes half as much damage and doesn’t fall prone or become trapped.Legendary Resistance (3/Day).;; If the zaratan fails a saving throw, it can choose to succeed instead.Magic Weapons.;; The zaratan’s weapon attacks are magical.Siege Monster.;; The elemental deals double damage to objects and structures (included in Earth-Shaking Movement).Multiattack;; The zaratan makes two attacks: one with its bite and one with its stomp.Bite;; Melee Weapon Attack: +17 to hit, reach 20 ft., one target. Hit: 28 (4d8 + 10) piercing damage.Stomp;; Melee Weapon Attack: +17 to hit, reach 20 ft., one target. Hit: 26 (3d10 + 10) bludgeoning damage.Spit Rock;; Ranged Weapon Attack: +17 to hit, range 120 ft./240 ft., one target. Hit: 31 (6d8 + 10) bludgeoning damage.Spew Debris (Recharge 5-6);; The zaratan exhales rocky debris in a 90-foot cube. Each creature in that area must make a DC 25 Dexterity saving throw. A creature takes 33 (6d10) bludgeoning damage on a failed save, or half as much damage on a successful one. A creature that fails the save by 5 or more is knocked prone.||ADDENDUM||The zaratan can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The zaratan regains spent legendary actions at the start of its turn.Stomp;; The zaratan makes one stomp attack.Move;; The zaratan moves up to its speed.Spit (Costs 2 Actions);; The zaratan uses Spit Rock.Retract (Costs 2 Actions);; The zaratan retracts into its shell. Until it takes its Emerge action, it has resistance to all damage, and it is restrained. The next time it takes a legendary action, it must take its Revitalize or Emerge action.Revitalize (Costs 2 Actions);; The zaratan can use this option only if it is retracted in its shell. It regains 52 (5d20) hit points. The next time it takes a legendary action, it must take its Emerge action.Emerge (Costs 2 Actions);; The zaratan emerges from its shell and uses Spit Rock. It can use this option only if it is retracted in its shell.",Zaratan,,"darkvision 60 ft., tremorsense 60 ft., passive Perception 15","Gargantuan elemental, neutral",,"40 ft., swim 40 ft.",30 (+10),http://chisaipete.github.io/bestiary/creature/zaratan,21 (+5)
"Source.;; tales from the yawning portal,  page 248",,"Spellcasting.;; Yusdrayl is a 2nd-level spellcaster. Her spellcasting ability is Charisma (spell save DC 13, +5 to hit with spell attacks). She knows the following sorcerer spells:","||ADDENDUM||Cantrips (at will): mage hand, prestidigitation, ray of frost, shocking grasp","||ADDENDUM||1st level (4 slots): burning hands, chromatic orb, mage armor","Sunlight Sensitivity.;; While in sunlight, Yusdrayl has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.",Pack Tactics.;; Yusdrayl has advantage on an attack roll against a creature if at least one of her allies is within 5 feet of the creature and the ally isn’t incapacitated.,"Dagger.;; Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",,,,12 (15 with mage armor),1 (200 XP),16 (+3),,14 (+2),,,15 (+2),16 (3d6+6),10 (0),"Common, Draconic",,Yusdrayl,,darkvision 60 ft.,"Small humanoid (kobold), lawful evil",,30 ft.,8 (-1),http://chisaipete.github.io/bestiary/creature/yusdrayl,10 (0)
